ChangeType;ModelSize;UserSize;NumberOfLegs;ExecutionTime(nano)
AddSignal;1;1;2;369024
DeleteSignal;1;1;2;1289710
AddConsumeReference;1;1;2;135122
DeleteConsumeReference;1;1;2;221719
AddSignal;1;2;3;551945
DeleteSignal;1;2;3;285050
AddConsumeReference;1;2;3;104283
DeleteConsumeReference;1;2;3;283635
AddSignal;1;4;5;281679
DeleteSignal;1;4;5;296765
AddConsumeReference;1;4;5;222760
DeleteConsumeReference;1;4;5;232886
AddSignal;2;1;2;257099
DeleteSignal;2;1;2;401984
AddConsumeReference;2;1;2;200795
DeleteConsumeReference;2;1;2;468362
AddSignal;2;2;3;403679
DeleteSignal;2;2;3;615321
AddConsumeReference;2;2;3;243272
DeleteConsumeReference;2;2;3;175107
AddSignal;2;4;5;235838
DeleteSignal;2;4;5;349796
AddConsumeReference;2;4;5;5841
DeleteConsumeReference;2;4;5;172283
AddSignal;2;8;9;161196
DeleteSignal;2;8;9;252113
AddConsumeReference;2;8;9;99121
DeleteConsumeReference;2;8;9;140339
AddSignal;4;1;2;408026
DeleteSignal;4;1;2;319437
AddConsumeReference;4;1;2;154992
DeleteConsumeReference;4;1;2;101924
AddSignal;4;2;3;273576
DeleteSignal;4;2;3;176582
AddConsumeReference;4;2;3;76038
DeleteConsumeReference;4;2;3;116268
AddSignal;4;4;5;140284
DeleteSignal;4;4;5;272042
AddConsumeReference;4;4;5;61369
DeleteConsumeReference;4;4;5;89852
AddSignal;4;8;9;88074
DeleteSignal;4;8;9;444717
AddConsumeReference;4;8;9;84271
DeleteConsumeReference;4;8;9;287810
AddSignal;4;16;17;150922
DeleteSignal;4;16;17;159362
AddConsumeReference;4;16;17;59561
DeleteConsumeReference;4;16;17;86005
AddSignal;8;1;2;112594
DeleteSignal;8;1;2;308202
AddConsumeReference;8;1;2;107774
DeleteConsumeReference;8;1;2;87397
AddSignal;8;2;3;178853
DeleteSignal;8;2;3;247595
AddConsumeReference;8;2;3;56056
DeleteConsumeReference;8;2;3;84639
AddSignal;8;4;5;123467
DeleteSignal;8;4;5;374349
AddConsumeReference;8;4;5;86059
DeleteConsumeReference;8;4;5;108607
AddSignal;8;8;9;128075
DeleteSignal;8;8;9;135717
AddConsumeReference;8;8;9;55963
DeleteConsumeReference;8;8;9;116626
AddSignal;8;16;17;77130
DeleteSignal;8;16;17;237203
AddConsumeReference;8;16;17;52866
DeleteConsumeReference;8;16;17;83521
AddSignal;8;32;33;79229
DeleteSignal;8;32;33;160890
AddConsumeReference;8;32;33;55802
DeleteConsumeReference;8;32;33;86150
AddSignal;16;1;2;81126
DeleteSignal;16;1;2;159545
AddConsumeReference;16;1;2;49062
DeleteConsumeReference;16;1;2;76487
AddSignal;16;2;3;71400
DeleteSignal;16;2;3;126382
AddConsumeReference;16;2;3;48961
DeleteConsumeReference;16;2;3;76274
AddSignal;16;4;5;75033
DeleteSignal;16;4;5;132007
AddConsumeReference;16;4;5;56439
DeleteConsumeReference;16;4;5;87383
AddSignal;16;8;9;73401
DeleteSignal;16;8;9;136057
AddConsumeReference;16;8;9;52827
DeleteConsumeReference;16;8;9;85665
AddSignal;16;16;17;76922
DeleteSignal;16;16;17;154826
AddConsumeReference;16;16;17;55799
DeleteConsumeReference;16;16;17;141046
AddSignal;16;32;33;166635
DeleteSignal;16;32;33;150589
AddConsumeReference;16;32;33;148002
DeleteConsumeReference;16;32;33;77061
AddSignal;16;64;65;76440
DeleteSignal;16;64;65;273822
AddConsumeReference;16;64;65;52130
DeleteConsumeReference;16;64;65;78529
AddSignal;32;1;2;149361
DeleteSignal;32;1;2;137870
AddConsumeReference;32;1;2;103534
DeleteConsumeReference;32;1;2;78150
