ChangeType;ModelSize;UserSize;NumberOfLegs;ExecutionTime(nano)
AddSignal;1;1;2;830052
DeleteSignal;1;1;2;645894
AddConsumeReference;1;1;2;372195
DeleteConsumeReference;1;1;2;267132
AddSignal;1;2;3;910719
DeleteSignal;1;2;3;269220
AddConsumeReference;1;2;3;242109
DeleteConsumeReference;1;2;3;173187
AddSignal;1;4;5;406248
DeleteSignal;1;4;5;520566
AddConsumeReference;1;4;5;94857
DeleteConsumeReference;1;4;5;428124
AddSignal;2;1;2;239059
DeleteSignal;2;1;2;301931
AddConsumeReference;2;1;2;230356
DeleteConsumeReference;2;1;2;240564
AddSignal;2;2;3;565878
DeleteSignal;2;2;3;566927
AddConsumeReference;2;2;3;77999
DeleteConsumeReference;2;2;3;129322
AddSignal;2;4;5;180728
DeleteSignal;2;4;5;270393
AddConsumeReference;2;4;5;88483
DeleteConsumeReference;2;4;5;123138
AddSignal;2;8;9;160133
DeleteSignal;2;8;9;305986
AddConsumeReference;2;8;9;85049
DeleteConsumeReference;2;8;9;109172
AddSignal;4;1;2;650994
DeleteSignal;4;1;2;448211
AddConsumeReference;4;1;2;82848
DeleteConsumeReference;4;1;2;239775
AddSignal;4;2;3;216827
DeleteSignal;4;2;3;423458
AddConsumeReference;4;2;3;65585
DeleteConsumeReference;4;2;3;115692
AddSignal;4;4;5;245192
DeleteSignal;4;4;5;186069
AddConsumeReference;4;4;5;60131
DeleteConsumeReference;4;4;5;88067
AddSignal;4;8;9;253225
DeleteSignal;4;8;9;139016
AddConsumeReference;4;8;9;117889
DeleteConsumeReference;4;8;9;178678
AddSignal;4;16;17;151236
DeleteSignal;4;16;17;195841
AddConsumeReference;4;16;17;58419
DeleteConsumeReference;4;16;17;153426
AddSignal;8;1;2;121538
DeleteSignal;8;1;2;159576
AddConsumeReference;8;1;2;215453
DeleteConsumeReference;8;1;2;83238
AddSignal;8;2;3;152262
DeleteSignal;8;2;3;393589
AddConsumeReference;8;2;3;153715
DeleteConsumeReference;8;2;3;83235
AddSignal;8;4;5;171988
DeleteSignal;8;4;5;205557
AddConsumeReference;8;4;5;57791
DeleteConsumeReference;8;4;5;82866
AddSignal;8;8;9;79444
DeleteSignal;8;8;9;136278
AddConsumeReference;8;8;9;57630
DeleteConsumeReference;8;8;9;88583
AddSignal;8;16;17;81234
DeleteSignal;8;16;17;141490
AddConsumeReference;8;16;17;53552
DeleteConsumeReference;8;16;17;175791
AddSignal;8;32;33;108837
DeleteSignal;8;32;33;163289
AddConsumeReference;8;32;33;53953
DeleteConsumeReference;8;32;33;81564
AddSignal;16;1;2;159479
DeleteSignal;16;1;2;195910
AddConsumeReference;16;1;2;118314
DeleteConsumeReference;16;1;2;88646
AddSignal;16;2;3;77803
DeleteSignal;16;2;3;130635
AddConsumeReference;16;2;3;52765
DeleteConsumeReference;16;2;3;90820
AddSignal;16;4;5;77179
DeleteSignal;16;4;5;135033
AddConsumeReference;16;4;5;118825
DeleteConsumeReference;16;4;5;89578
AddSignal;16;8;9;76012
DeleteSignal;16;8;9;131226
AddConsumeReference;16;8;9;54790
DeleteConsumeReference;16;8;9;179765
AddSignal;16;16;17;79387
DeleteSignal;16;16;17;135920
AddConsumeReference;16;16;17;113382
DeleteConsumeReference;16;16;17;80940
AddSignal;16;32;33;73246
DeleteSignal;16;32;33;129070
AddConsumeReference;16;32;33;43218
DeleteConsumeReference;16;32;33;113317
AddSignal;16;64;65;157980
DeleteSignal;16;64;65;190293
AddConsumeReference;16;64;65;53193
DeleteConsumeReference;16;64;65;105974
AddSignal;32;1;2;75387
DeleteSignal;32;1;2;295122
AddConsumeReference;32;1;2;52464
DeleteConsumeReference;32;1;2;92433
AddSignal;32;2;3;76646
DeleteSignal;32;2;3;132461
AddConsumeReference;32;2;3;52700
DeleteConsumeReference;32;2;3;80917
AddSignal;32;4;5;84747
DeleteSignal;32;4;5;130071
AddConsumeReference;32;4;5;104281
DeleteConsumeReference;32;4;5;76285
AddSignal;32;8;9;107163
DeleteSignal;32;8;9;132458
AddConsumeReference;32;8;9;52683
DeleteConsumeReference;32;8;9;82016
AddSignal;32;16;17;78715
DeleteSignal;32;16;17;125679
AddConsumeReference;32;16;17;51252
DeleteConsumeReference;32;16;17;85317
AddSignal;32;32;33;76914
DeleteSignal;32;32;33;131514
AddConsumeReference;32;32;33;50500
DeleteConsumeReference;32;32;33;77542
AddSignal;32;64;65;78535
DeleteSignal;32;64;65;129773
